Node	Weight_1	Weight_2	Weight_3	Query_1	Query_2	Query_3
Rasd1	0.0010008704007869935	0.0010110415797937487	0.026456744224753817	False	False	False
Efhd2	0.0010002654648845913	0.0010004503483507998	0.0023062175881926094	False	False	False
Ing3	0.0010001977525762001	0.0010020242128260654	0.002762293084670817	False	False	False
Cfdp1	0.0010001977020612873	0.0012370889421973255	0.001428673961219891	False	False	False
Rel	0.0010010418321982084	0.011298847785739922	0.010333392469010817	False	False	False
Taf2	0.0010001907164660566	0.0010018740064606617	0.0077365806635669564	False	False	False
Pak3	0.0010001472374050182	0.0010075748190664499	0.0010001284311228894	False	False	False
Ift20	0.0010000842711092822	0.0011929010905894321	0.015934650967372378	False	False	False
Rpp30	0.0010002860716904283	0.0010083367437913279	0.003945068023222052	False	False	False
Sgcb	0.00100000334983028	0.0010059511983591303	0.008532690079151369	False	False	False
Lrfn2	0.0010007036068721308	0.0010098199914535312	0.001005961985244768	False	False	False
Zwint	0.001000172349915983	0.0010019454301289504	0.0010018278035224721	False	False	False
Pcgf2	0.0010000002774029244	0.0010021101389722828	0.04181957107147295	False	False	False
Msh2	0.001000316015745921	0.0014847694632361447	0.0031792693229665426	False	False	False
Chd1	0.0010002459539269688	0.0010076800739421885	0.0014219835024934563	False	False	False
Nptn	0.0010001516931509163	0.0010040502167492644	0.0027565942028057767	False	False	False
Gp1bb	0.001000112964897596	0.0010033927492871003	0.0014115114486559657	False	False	False
Brcc3	0.0010001068574284344	0.0010050039623292978	0.0022455445050393098	False	False	False
Hif3a	0.0010020120496608408	1.0	0.22296925372853513	False	True	False
Cdk1	0.0010007494735069001	0.001020413900821558	0.06460614454461208	False	False	False
Wdr5	0.0010003279307819947	0.0010024646232810507	0.013256526791983487	False	False	False
Klhl2	0.0010002257001654696	0.0010035077582346568	0.007024123860739613	False	False	False
Senp1	0.0010000554057016259	0.0010000718900550663	0.00728877511550137	False	False	False
Gipc2	0.0010016754328224867	0.0010021589622897435	0.0019849290992428516	False	False	False
Cela1	0.0010004360700066196	0.0028412096678750456	0.0010041396256034645	False	False	False
Vav3	0.0010003395002130605	0.0010036527942258672	0.00161558839446274	False	False	False
Adck1	0.0010001452415105707	0.001167293180660705	0.009670257563285954	False	False	False
Unc5b	0.0010006548374157783	0.0010002767093043577	0.0012496972696803528	False	False	False
Wdr76	0.0010010022456880257	0.018387074975947184	0.0414873180682199	False	False	False
Fhl3	0.003172101172019549	0.030374855336981723	0.00385760526053739	False	False	False
Pde12	0.0010001857652837353	0.0018919011939985335	0.007905751458701232	False	False	False
Rpap1	0.0010001775608614665	0.0010014486100377244	0.0038094703951384104	False	False	False
Fzr1	0.0010000166108198982	0.0010001870401181389	0.001147373791365348	False	False	False
Vapa	0.0010000732082824481	0.0010029141263583777	0.013411472216529063	False	False	False
Zw10	0.0010002515118651958	0.001012711693613041	0.001331013110504379	False	False	False
Stk26	0.0010000663611844888	0.0010050800342790126	0.004142211365302035	False	False	False
Map1a	0.0010001971973243493	0.002708922299304666	0.0278525462674335	False	False	False
Actn2	0.0010028657431642599	0.006744842116091054	0.010116148836092818	False	False	False
Dcaf8	0.0010001310947048202	0.001005005628507546	0.0010110100004991796	False	False	False
Rcor1	0.0010000198015559236	0.0010075135239897928	0.0010305488483280602	False	False	False
