source	target	Weight_1>2	Weight_2>3
Mitf	Mitf	0.007470582026720071	0.011083176194897145
Gas2	Gas2	0.002007403688850879	0.002024739275800509
Palb2	Palb2	0.0020101145579493602	0.005376454944519588
Cand2	Cand2	0.0034882147308248953	0.00711483041850173
Kat5	Kat5	0.00200014344724331	0.002068690275624253
Faf1	Faf1	0.0019993432886976797	0.0034728970251971768
Tead3	Tead3	0.11930865466864357	0.1470633873969644
Hhip	Hhip	0.002017454304495174	0.002133379400772124
Rpa1	Rpa1	0.001997462498368486	0.0022416721324105444
Rabl6	Rabl6	0.002001120121435053	0.003636751461803313
Sh2d5	Sh2d5	0.0020088274618732626	0.005019979486187101
Pim3	Pim3	0.009347552255980711	0.009487861984414874
Scn9a	Scn9a	0.00578394157584691	0.014462046821702879
Prkdc	Prkdc	0.0019989227486103176	0.0023094563893753207
Cenpm	Cenpm	0.0019994012434729237	0.0037719984687258194
Ddx6	Ddx6	0.0019981623271429863	0.0019981695238692632
Mark4	Mark4	0.0021348136922541314	0.002708113263861252
Hps5	Hps5	0.0019961578499296047	0.01248633435159274
Spon1	Spon1	0.03658128002277126	0.08303737650576766
Atf1	Atf1	0.0020074120972766265	0.0020268093607443286
Caly	Caly	0.002964567988692689	0.0031941423297522703
Hmgb1	Hmgb1	0.001997208371250252	0.008872529327279421
Tra2a	Tra2a	0.002003327172568103	0.008631029559002683
Hkdc1	Hkdc1	0.0020235524247324563	0.014166814056805617
Rbl1	Rbl1	0.0020132798850339764	0.012438292837906154
Ascc2	Ascc2	0.0019997522951659226	0.0023843125112976687
Preb	Preb	0.0019980908385751803	0.002009165636459631
Cd2	Cd2	0.002054723587669559	0.002072208657468131
Pygo1	Pygo1	0.03890599764788617	0.08545005957323072
Smyd2	Smyd2	0.0020023645156165212	0.02489139936524287
Wdr74	Wdr74	0.001998096793337502	0.009032294956103476
Hip1r	Hip1r	0.0019976363514067116	0.0025507638667913706
Mov10	Mov10	0.024745930874351486	0.043676265266742814
P3h2	P3h2	0.002000286382827648	0.002331981267071699
Tead4	Tead4	0.002009452708546288	0.02061939738391398
Fxr1	Fxr1	0.001999708578719042	0.002538541800126479
Dgke	Dgke	0.0020028251844448302	0.0023550823268946187
Bag1	Bag1	0.001998958799411955	0.0027882934224805634
Gopc	Gopc	0.0023958921793822336	0.002540622368991462
Pi4kb	Pi4kb	0.002000424267958816	0.003972528930825306
Vamp4	Vamp4	0.0020004752587050117	0.002012505172279914
Shc3	Shc3	0.0020078103362203455	0.006198356899810887
Lmod3	Lmod3	0.0020192462240213546	0.0033690725924060026
Fosb	Fosb	0.002034299682265077	0.007551534353979803
Syn2	Syn2	0.0020008917729877635	0.0023922768902980784
Arl10	Arl10	0.0029212609442567333	0.002933181118022082
Gosr1	Gosr1	0.001997147197353965	0.002092986878832721
Peli1	Peli1	0.0027002381372895007	0.0027350091505728437
Chd2	Chd2	0.0019979754543031775	0.019496388216244408
Cntf	Cntf	0.06258587222262156	0.06425287826924322
Ddx47	Ddx47	0.0020024063457198113	0.004576580067422275
Vrk2	Vrk2	0.0019976069751275537	0.007880267653024584
Rtn2	Rtn2	0.0020018645550039394	0.0052769881911778034
Myh1	Myh1	0.45386894075034784	0.39136329967648814
Kdm1a	Kdm1a	0.0021157534092019147	0.003884945622902574
Cdca5	Cdca5	0.00206917362988765	0.1423708974293757
Brca2	Brca2	0.003329003958435553	0.019955864280738027
Cdv3	Cdv3	0.004313741735840208	0.00454734214349701
Nampt	Nampt	0.0047742385434961015	0.0036994460662708568
Hook2	Hook2	0.0020035788838473605	0.01569915503424397
Nod1	Nod1	0.0019990331039052805	0.005213262077033351
Arf3	Arf3	0.0019966748351312267	0.002078264141005686
Bccip	Bccip	0.002001761906090447	0.002029782243196354
Snx8	Snx8	0.002004226698536585	0.004616712295852628
