source	target	score
AGAP2	SHAN3	0.6666438329422989
PO5F1	MTA1	0.6666438329422989
NANOG	ZMYM2	0.6666438329422989
DLG4	ABLM1	0.6666438329422989
PO5F1	SMRC1	0.6666438329422989
PO5F1	ZN219	0.6666438329422989
DLG4	DLG2	0.6666438329422989
KALRN	SYGP1	0.6666438329422989
KALRN	SHAN3	0.6666438329422989
DLGP4	SYGP1	0.6666438329422989
SYGP1	CNTP1	0.6666438329422989
SYGP1	KPCE	0.6666438329422989
SYGP1	KCC2B	0.6666438329422989
SYGP1	KCC2A	0.6666438329422989
SYGP1	RAB2A	0.6666438329422989
SYGP1	1433E	0.6666438329422989
SYGP1	RAB3A	0.6666438329422989
SYGP1	KPCG	0.6666438329422989
SYGP1	NMDE4	0.6666438329422989
SYGP1	PLCL1	0.6666438329422989
SYGP1	DLG4	0.6666438329422989
SYGP1	SHAN2	0.6666438329422989
SYGP1	ANS1B	0.6666438329422989
SYGP1	BAIP2	0.6666438329422989
SYGP1	ABLM1	0.6666438329422989
SYGP1	IQEC1	0.6666438329422989
SYGP1	GRIA3	0.6666438329422989
SYGP1	ADAM9	0.6666438329422989
SYGP1	NMDE1	0.6666438329422989
SYGP1	1433G	0.6666438329422989
SYGP1	1433F	0.6666438329422989
SYGP1	SPTB2	0.6666438329422989
SYGP1	DLG2	0.6666438329422989
SYGP1	Q68FG2	0.6666438329422989
SYGP1	GRIA1	0.6666438329422989
SYGP1	KCAB2	0.6666438329422989
SYGP1	RAB3C	0.6666438329422989
DLG4	BAIP2	0.6666438329422989
DLG3	DLG4	0.6666438329422989
DLG4	DLG1	0.6666438329422989
SYGP1	E41L2	0.6666438329422989
SYGP1	GNAO	0.6666438329422989
SYGP1	GRIA2	0.6666438329422989
SYGP1	ARF3	0.6666438329422989
SYGP1	AGAP2	0.6666438329422989
SYGP1	KCNA4	0.6666438329422989
SYGP1	LRRC7	0.6666438329422989
SYGP1	DGKZ	0.6666438329422989
SYGP1	DLG1	0.6666438329422989
SYGP1	DLGP2	0.6666438329422989
SYGP1	BASP1	0.6666438329422989
SYGP1	ADA22	0.6666438329422989
SYGP1	ARF5	0.6666438329422989
SYGP1	DLG3	0.6666438329422989
SYGP1	HOME1	0.6666438329422989
SYGP1	BEGIN	0.6666438329422989
SYGP1	SHAN3	0.6666438329422989
NCOA2	CARM1	0.6665898289053019
FAK1	BCAR1	0.666387274788467
SMC1B	SMC3	0.666382772886575
PRGC1	SIR1	0.665702636317448
ATG5	ATG12	0.6648503591034599
WNT3A	FZD8	0.6647826712542979
KIT	P85A	0.6645163654869611
KAPCA	IPKA	0.6642951151408539
SOCS3	ELOB	0.664191237521243
P85A	GAB1	0.664091861115614
MSX2	MAGD1	0.664091861115614
MYOD1	KAT2B	0.664091861115614
MK08	JIP3	0.664091861115614
ABL1	CBL	0.664091861115614
IF4E	IF4G1	0.6621419787326579
NR0B1	ERR2	0.6621419787326579
TIF1B	NANOG	0.6621419787326579
ATG3	ATG12	0.6621419787326579
KDM1A	RING2	0.6621419787326579
CSF1R	P85A	0.661307795205833
ERCC1	SLX4	0.661307795205833
F8VPR5	CTNB1	0.661307795205833
AXIN1	LRP5	0.661307795205833
SYNE2	SUN2	0.661307795205833
DVL1	DACT1	0.660495268718861
DLG4	NEB2	0.6603726220854399
DMD	SNTB2	0.6603726220854399
UBE2N	TRAF6	0.6603726220854399
CSKP	LIN7C	0.6603726220854399
DMD	SNTB1	0.6603726220854399
NLRC4	BIR1E	0.660249952669442
SCMH1	RING2	0.660249952669442
DNM3B	DNM3L	0.660249952669442
CHD4	MTA2	0.660249952669442
1433E	NDEL1	0.6602090577991191
PCD15	USH1C	0.6582157700936679
TRAF6	ECSIT	0.658101815830955
REV1	POLH	0.6576001824817261
TERA	NSF1C	0.657577371873455
GEMI	CDT1	0.657577371873455
CTBP1	ZEB1	0.657577371873455
CADH2	NMDZ1	0.656572920550338
CD80	PD1L1	0.6558551669385551
SHAN3	MPP2	0.655704201603131
SHAN3	HOME1	0.655704201603131
PO5F1	RBBP7	0.655704201603131
1433Z	SHAN3	0.655704201603131
LMBL2	RING2	0.655704201603131
SHAN3	DLG2	0.655704201603131
SHAN3	GSK3B	0.655704201603131
RAC1	DLG4	0.655704201603131
PO5F1	REQU	0.655704201603131
PO5F1	ERR2	0.655704201603131
SHAN3	DLG4	0.655704201603131
MTF2	EZH2	0.655704201603131
HDAC2	NANOG	0.655704201603131
PO5F1	P66A	0.655704201603131
MTF2	SUZ12	0.655704201603131
EPOP	SUZ12	0.655704201603131
NANOG	P66A	0.655704201603131
SHAN3	BAIP2	0.655704201603131
SHAN3	HOME3	0.655704201603131
MTA1	MTA2	0.655704201603131
PO5F1	HDAC2	0.655704201603131
PO5F1	NACC1	0.655704201603131
MTA2	MBD3	0.655704201603131
ERR2	NANOG	0.655704201603131
P53	B2CL1	0.655704201603131
RBBP4	EZH2	0.655704201603131
SYGP1	DLGP1	0.655704201603131
EZH1	SUZ12	0.655704201603131
EZH2	AEBP2	0.655704201603131
KALRN	DLGP1	0.655704201603131
SHAN1	SYGP1	0.655704201603131
NTRK1	SQSTM	0.655704201603131
SYGP1	DLGP3	0.655704201603131
TRAF6	TNAP3	0.655704201603131
SYGP1	IQEC2	0.655704201603131
NECD	E2F1	0.6554250529236729
H33	HIRA	0.6548114232357279
RB	CDK4	0.654802260228231
IKKB	IKBA	0.654802260228231
H12	CDK2	0.654802260228231
AKT1	GSK3B	0.654802260228231
AKT1	GSK3A	0.654802260228231
IKKA	IKBB	0.654802260228231
ITB1	FERM2	0.654802260228231
ELK1	MK01	0.654802260228231
CDK1	H11	0.654802260228231
GRB2	KHDR1	0.654623555946469
TERA	NGLY1	0.654266000950684
RD23B	NGLY1	0.653040580668614
TRAF2	TNAP3	0.652884369547931
NEDD4	GRB10	0.652838417987177
NEDD4	SCNNA	0.650947002451044
NEDD4	SCNNB	0.650947002451044
DYN1	SH3G2	0.650947002451044
VEGFA	Q8VCD0	0.650947002451044
HXA9	PBX1	0.650947002451044
CTNB1	KC1E	0.650947002451044
UBC	HGS	0.650947002451044
PLIN1	ABHD5	0.650947002451044
PDCD1	PD1L1	0.650947002451044
STING	TBK1	0.650822556462205
