source	target	score
YBR081C	YDR145W	0.7602302282861421
YDL188C	YGL190C	0.760147354136025
YDR334W	YLR085C	0.760147354136025
YLR396C	YDR080W	0.760139460888592
YER165W	YGL049C	0.7601157806545
YGR233C	YOL001W	0.760107887079196
YMR309C	YNL244C	0.7600920996826629
YPL042C	YNL025C	0.7600802589200699
YKL068W	YLR347C	0.760064470949669
YKL025C	YGL094C	0.760005263139671
YIR006C	YNL084C	0.7600013157883349
YOR361C	YMR309C	0.7599381553784491
YDR394W	YHR027C	0.7599342076785329
YGL112C	YGR252W	0.7599263122171781
YGR274C	YMR236W	0.7599263122171781
YCR093W	YNL288W	0.759914468871333
YBR160W	YJL194W	0.759910521048367
YDR129C	YFL039C	0.7598868336798579
YCR002C	YJR076C	0.7598710416906279
YLR055C	YDR448W	0.759851301242552
YER012W	YKL145W	0.7598434049197241
YIL021W	YGL070C	0.7598434049197241
YIL021W	YOR224C	0.7598434049197241
YER012W	YPR103W	0.7598355085148359
YHR069C	YOL021C	0.7598039220746359
YHR197W	YNL182C	0.759784179882682
YDR224C	YDR225W	0.7597802313827329
YPL240C	YCR060W	0.759764437177735
YDL140C	YDL108W	0.759713103743775
YDL064W	YDR409W	0.759713103743775
YMR005W	YDR145W	0.7597091548744158
YBR082C	YER125W	0.75967756318059
YKR068C	YOR115C	0.75967756318059
YJR050W	YDR416W	0.759649919370759
YBR245C	YFR013W	0.7596064770655921
YKR048C	YDR507C	0.759586729741904
YLR396C	YLR148W	0.75957883066868
YGR252W	YDR167W	0.759574881101264
YGR092W	YIL106W	0.759566981904822
YLR207W	YOL013C	0.7595432838225881
YDR176W	YGR252W	0.7595393340703299
YLR335W	YLR347C	0.7595393340703299
YMR223W	YGR252W	0.75951958500094
YBR081C	YMR223W	0.75951958500094
YNR017W	YKR065C	0.7594800853215309
YMR231W	YLR148W	0.7594366333012909
YDR159W	YBR111W-A	0.7594089807211921
YOR117W	YHR027C	0.7594089807211921
YGL058W	YGR184C	0.759405030270409
YNL262W	YDR121W	0.759393178794753
YHR090C	YFL024C	0.7593813271341351
YDR394W	YKL145W	0.7593813271341351
YGR095C	YNL232W	0.75932996780056
YNR031C	YLR006C	0.7593062623210741
YDR225W	YKR048C	0.7593062623210741
YPL237W	YER025W	0.759302311335874
YLL039C	YHR200W	0.759270702714124
YGR195W	YOL021C	0.759246995384243
YNL138W	YFL039C	0.7592232873140808
YKR068C	YDR472W	0.7592114330013741
YJR076C	YDL225W	0.7592114330013741
YHR027C	YGL048C	0.7591995785035709
YDR075W	YNL201C	0.7591995785035709
YOR290C	YPR034W	0.7591877238206629
