source	target	Weight	edge type
YAL005C	YAR015W	1.0	PPI
YAL005C	YAR018C	1.0	PPI
YAL005C	YAR027W	1.0	PPI
YAL005C	YAR031W	1.0	PPI
YAL005C	YAR042W	1.0	PPI
YAL005C	YAR071W	1.0	PPI
YAL005C	YBL002W	1.0	PPI
YAL005C	YBL003C	1.0	PPI
YAL005C	YBL004W	1.0	PPI
YAL005C	YBL005W	1.0	PPI
YAL005C	YBL005W-B	1.0	PPI
YAL005C	YBL007C	1.0	PPI
YAL005C	YBL008W	1.0	PPI
YAL005C	YBL009W	1.0	PPI
YAL005C	YBL013W	1.0	PPI
YAL005C	YBL016W	1.0	PPI
YAL005C	YBL017C	1.0	PPI
YAL005C	YBL021C	1.0	PPI
YAL005C	YBL022C	1.0	PPI
YAL005C	YBL023C	1.0	PPI
YAL005C	YBL024W	1.0	PPI
YAL005C	YBL026W	1.0	PPI
YAL005C	YBL027W	1.0	PPI
YAL005C	YBL030C	1.0	PPI
YAL005C	YBL032W	1.0	PPI
YAL005C	YBL033C	1.0	PPI
YAL005C	YBL035C	1.0	PPI
YAL005C	YBL037W	1.0	PPI
YAL005C	YBL039C	1.0	PPI
YAL005C	YBL045C	1.0	PPI
YAL005C	YBL046W	1.0	PPI
YAL005C	YBL047C	1.0	PPI
YAL005C	YBL050W	1.0	PPI
YAL005C	YBL051C	1.0	PPI
YAL005C	YBL052C	1.0	PPI
YAL005C	YBL054W	1.0	PPI
YAL005C	YBL056W	1.0	PPI
YAL005C	YBL057C	1.0	PPI
YAL005C	YBL058W	1.0	PPI
YAL005C	YBL060W	1.0	PPI
YAL005C	YBL063W	1.0	PPI
YAL005C	YBL067C	1.0	PPI
YAL005C	YBL068W	1.0	PPI
YAL005C	YBL069W	1.0	PPI
YAL005C	YBL071W-A	1.0	PPI
YAL005C	YBL074C	1.0	PPI
YAL005C	YBL075C	1.0	PPI
YAL005C	YBL076C	1.0	PPI
YAL005C	YBL079W	1.0	PPI
YAL005C	YBL080C	1.0	PPI
YAL005C	YBL085W	1.0	PPI
YAL005C	YBL086C	1.0	PPI
YAL005C	YBL088C	1.0	PPI
