source	target	Weight_1>2	Weight_2>3	Weight_3>4	Weight_4>5	Weight_5>6	Weight_6>7	Weight_7>8	Weight_8>9	Weight_9>10	Weight_10>11	Weight_11>12	Weight_12>13	Weight_13>14	Weight_14>15	Weight_15>16
YNL172W	YNL172W	0.2151147782643437	0.2164514859091249	0.12169024240138784	0.1037788706591513	0.1995487229438851	0.2226831526826277	0.2502880447190477	0.25161833132863964	0.204779781889603	0.11990026675764776	0.023454201485907086	0.0756350696169756	0.12828164629002795	0.1116105946560246	0.11797423023042924
YOR368W	YOR368W	0.14531626400879835	0.14475278779585282	0.10078770678683896	0.01605654853031614	0.04478375766363075	0.07158382464404116	0.08145430827633335	0.06188517048771856	0.09454179374809812	0.11517867847121467	0.07765509255499735	0.05519542423178197	0.010750731734495705	0.015958623063409283	0.019295266813051985
YJL157C	YJL157C	0.3034173687676057	0.3299710739478401	0.28965698324829764	0.1314679308572586	0.0514685692814587	0.07556800233396284	0.0829875140658176	0.10607106954936583	0.2537088107679795	0.33113467594785834	0.3067497025582649	0.2559423821693237	0.1858130883142625	0.1115155322100789	0.07952326934545688
YGL190C	YGL190C	0.13169448434829675	0.0923879934754742	0.03818049597694995	0.015814199824984554	0.052343843400554944	0.07696636785336207	0.08157723100184464	0.1092995583100624	0.09891258505406583	0.04764449645148434	0.02745008397647896	0.015561366807255457	0.033704203233834364	0.04628866300904795	0.023226176949522656
YBR136W	YBR136W	0.0567842783687961	0.05168455450536296	0.0386073463130227	0.02038502811881049	0.010523560546371314	0.009145100664470914	0.0416333156724004	0.04895365727921245	0.019971459808457805	0.04445069908678505	0.0551909088750654	0.08522356394228092	0.08145212900754274	0.04344704612275418	0.04704290947567738
YDR110W	YDR110W	0.11339677442713016	0.08188441892398017	0.03438506084136067	0.03749434756101319	0.07957598156387069	0.09425666696665592	0.060394088806228485	0.04551468557394151	0.06539897677214185	0.04527347466994802	0.02173324763564164	0.017928298618146887	0.02676840838715713	0.02513468832646361	0.0198365189363848
YGR188C	YGR188C	0.2818053656404666	0.3303431612772294	0.3644182824592958	0.3154035908862753	0.20844699448844625	0.07485347705324709	0.17883720075469609	0.3628313486100407	0.44214261294973856	0.3783644327484625	0.2627578137074916	0.22754633458142665	0.15168178862258802	0.09899330999286797	0.0658814942346297
YGR233C	YGR233C	0.14467481235337334	0.09851962953336653	0.048574985995875834	0.030351552647867538	0.04301245910441153	0.04343991156163293	0.0381162860150804	0.0650109228657236	0.11762870745365188	0.15201645537725794	0.12558186347890346	0.07265666320648577	0.05272234847372899	0.022555864512962376	0.005647198651467367
YLR079W	YLR079W	0.26477623146556023	0.3284262679750629	0.4115533562723796	0.4426289005183861	0.439257779395752	0.4519360993933727	0.43173854594909994	0.2649761677335142	0.3364264552382096	0.4748384129716954	0.4651741283070712	0.4598687683780659	0.4088179069571442	0.3511073540946087	0.3152496597329062
YDR451C	YDR451C	0.12467080662106444	0.08026933846474686	0.1921261052903174	0.27268777390931564	0.2956599145361066	0.2529181183859943	0.12726795599891022	0.110581940436022	0.2567464816948833	0.3200223794411224	0.2833307308012851	0.1988065758236692	0.14125153092540618	0.11522631793159127	0.06645798555105019
YOL001W	YOL001W	0.0408252702010702	0.07066574131711706	0.05876184575004303	0.02848927129408102	0.01705773305921314	0.027936331640028476	0.030692061516280667	0.07466655607875496	0.11685234973421085	0.06071169938690664	0.01174637128852405	0.039084126053071655	0.03868180283823308	0.030183996968270836	0.022556205628766632
YOL133W	YOL133W	0.13548145833863914	0.17012807387367132	0.17694714974358713	0.10522513613436398	0.08419217227066089	0.06574267696581003	0.02335381279068306	0.021522771714071024	0.056375846956169914	0.18610596350826974	0.19162880808622196	0.10799914487731034	0.12491999314249615	0.11058239765000537	0.05611909718816438
YLR182W	YLR182W	0.03046919509107078	0.08956377736968216	0.14147855523598013	0.14928227570905214	0.15579612023753747	0.10760454505278222	0.07267640354957207	0.0604283455727106	0.09725997601905498	0.12540003798896407	0.1243610454283734	0.14739744769488244	0.08771872907248053	0.051017296791152286	0.058567270440949636
YLR086W	YLR086W	0.0673641153981832	0.0938174583277233	0.11082257104955448	0.11158495489973516	0.17483625640780412	0.17360271139293787	0.1621613534020375	0.13096001636504692	0.04970762278607858	0.062382629818727185	0.09644031832479703	0.12422287636641802	0.15921785887485262	0.13268180020248746	0.1309652338118219
YLR176C	YLR176C	0.13087149387949473	0.15051465430035632	0.17368461078122993	0.1471610560182484	0.06508739361581592	0.02111209843470286	0.0215188250373484	0.04329344317732967	0.0882357260143353	0.18800874441077975	0.20308776628913167	0.11577257129730305	0.05439626725047784	0.04054967840191686	0.05253324455857891
YJR090C	YJR090C	0.14378358476567232	0.14801549703404265	0.11909524325308232	0.06828756956126628	0.03253298860023325	0.03049635484728556	0.030181451926186587	0.02443156474126451	0.05110844586565495	0.13469004234989887	0.12010585555986705	0.05149886062532253	0.08688741605973571	0.081346875298663	0.04460206358117472
