Node	Core	Weight_1	Weight_2	Weight_3	Weight_4	Weight_5	Weight_6	Weight_7	Weight_8	Weight_9	Weight_10	Weight_11	Weight_12	Weight_13	Weight_14	Weight_15	Weight_16	Query_1	Query_2	Query_3	Query_4	Query_5	Query_6	Query_7	Query_8	Query_9	Query_10	Query_11	Query_12	Query_13	Query_14	Query_15	Query_16
YDL101C	True	0.2802783699531912	0.2089263132484788	0.21942835629810706	0.1051300027616485	0.011883057526861671	0.052335637395985866	0.10929894753641252	0.20407870905522454	0.2467143281456342	0.2989025838926728	0.1799786347036978	0.06555079757701612	0.0213916157606036	0.0383077307860375	0.02993715138302748	0.044082064707371686	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False
YAL016W	True	0.012084561293338056	0.01801100295484711	0.030777417788208007	0.020066843518178414	0.0343812409279015	0.0413816586085196	0.02166673283933325	0.007058062529851223	0.008294930595961144	0.02871843580514393	0.0011752092449429955	0.0024902794685106155	0.005124641531910216	0.025526472596371058	0.01631830942856074	0.008273566338071376	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YLR210W	True	0.10516627085993174	0.012791027604310494	0.1256754757021729	0.1563202273538765	0.18310098946652992	0.18225514371130405	0.16973239603262952	0.06572713198223146	0.018137237311190192	0.14264178827040774	0.12490237516109533	0.14320860313863895	0.16409265200713544	0.04556953687367081	0.07319262440978999	0.020554378486549663	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YDR507C	True	0.3051268325350657	0.20233658020182008	0.16124012855272385	0.0814364818515917	0.04192790447672952	0.06291938614833087	0.20067586726580505	0.3924377697057698	0.4226983405016335	0.3035377304607688	0.14458220342367745	0.05518926174162695	0.0989028605195649	0.06769760529495063	0.05771399508091976	0.09408467058104986	True	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False
YPR111W	True	0.09241442611325396	0.020121129524042408	0.0205777136029114	0.050005125450743766	0.131610870079425	0.09584629991350634	0.17141159717695703	0.1276211587185251	0.08355497580546921	0.06384484725254833	0.005338259474115609	0.09324630099245017	0.15050286482579847	0.06793110975852634	0.11376573906922292	0.0777166570636727	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YCL024W	True	0.44720615295020094	0.2767271918628008	0.2009129630297737	0.0349664996784522	0.1890030068301916	0.4126741853888077	0.5359720214192195	0.8065638831696332	0.590129436824226	0.22485880272432351	0.09464440627268857	0.21710690704296576	0.28251730685168397	0.2643255758112127	0.2123851068269781	0.17993564000669152	True	True	False	False	False	True	True	True	True	False	False	False	True	True	False	False
YFL029C	True	0.0068201337562298426	0.02276481442966664	0.0013122013590794995	0.03157308620974079	0.022355436737204762	0.05149748683004771	0.0204951885564773	0.04878864100062194	0.027209352800654108	0.05897702024295776	0.013829924982235913	0.017133468858373996	0.00990791312749327	0.025514284071158008	0.0042357515055983005	0.04911657059308591	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YLR086W	True	0.053498043731552494	0.0187317691143728	0.08479864999367115	0.039836284993787566	0.08576374341088885	0.1261169381695781	0.08395479583327026	0.10959243913911072	0.04110260232178673	0.011205112627808031	0.0553280295714097	0.05140572612915048	0.09043729878456246	0.09893144620541186	0.054047933488757915	0.09665401643008238	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YFR034C	True	0.0065768331936035315	0.0023498035628554768	0.04116572941551497	0.09495585164830428	0.15079481344918136	0.1166861743638835	0.08750124935850688	0.11325287794515496	0.030597856848509294	0.09003129073453105	0.0924135057128813	0.055739475489394084	0.06924764712639556	0.14608486017071806	0.13901319265949594	0.11173151682961033	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YGR188C	True	0.195397374978703	0.19698284085481269	0.2963193135848991	0.2770424940349962	0.18367214993252826	0.07966712493224731	0.0012427365833380516	0.2165425806753807	0.35290060806050233	0.4396722308287005	0.1689873322354602	0.1874190408573022	0.10715698974270142	0.07164594833910949	0.038223724206922764	0.032304258942977136	False	False	True	True	False	False	False	False	True	True	False	False	False	False	False	False
