source	target	Weight_1>2	Weight_2>3	Weight_3>4	Weight_4>5	Weight_5>6	Weight_6>7	Weight_7>8	Weight_8>9	Weight_9>10	Weight_10>11	Weight_11>12	Weight_12>13	Weight_13>14	Weight_14>15	Weight_15>16
YMR104C	YMR104C	0.27547024414371407	0.2280624637868272	0.14827769158137621	0.08272565809662513	0.07114235653745564	0.10179537827400022	0.1749038067431223	0.18338359186957712	0.15655946041670468	0.14494335238160982	0.11889880996776869	0.11328979228823899	0.09842339630664687	0.045987534262110885	0.06023738063571689
YGL143C	YGL143C	0.04749845981383511	0.10454574915187766	0.09206460159352481	0.06557627282820222	0.10479914286265804	0.13444544505082284	0.09108284531300784	0.06452129511677075	0.07658530894355776	0.08189793618241262	0.08567517479613418	0.03855646665221398	0.027564031805571983	0.056634468902341216	0.03708065631822897
YDR118W	YDR118W	0.030112656326724496	0.05370040385490718	0.04412685127450747	0.04622012679727155	0.051337274745483934	0.035899489299341475	0.03780631590444616	0.049821284709618587	0.036213431602534776	0.010450202224656339	0.03364912056077928	0.050792296123011456	0.0324439869171086	0.017438539732911915	0.033980639038211996
YOR267C	YOR267C	0.08031629134347085	0.07050405247171082	0.04542795005627241	0.051666983337356656	0.03703235974547815	0.04363742972980967	0.06284519190432858	0.047679788745989764	0.04507377497516219	0.09289800146393228	0.09218211195728333	0.034804245561951004	0.03662195932602171	0.04890201243640724	0.04710649092008551
YHR198C	YHR198C	0.06043839577112177	0.05463822797692967	0.06141872214588648	0.04996133630246705	0.053336825474220924	0.0397644078003025	0.0563398460180768	0.0692670097232786	0.05055706742750228	0.08259202211609479	0.06718335840495938	0.03449019750064513	0.045923866121763635	0.05856784269341572	0.048573611142437766
YGR062C	YGR062C	0.07295498883272653	0.15023301064275163	0.2155911257906704	0.2220904921879537	0.22201034010156065	0.2086176453976425	0.20846214709206315	0.19038925751204377	0.12545846562970098	0.17846373924033326	0.2135906675877903	0.20676934944207442	0.23314909858568642	0.21890395829181555	0.16787053997330037
YMR058W	YMR058W	0.1900563789936472	0.16256144756454452	0.12342386674200487	0.06935061519835799	0.08926144478038427	0.13673812849020126	0.19407365050859562	0.2251229233099155	0.20797254362095746	0.15023311525795946	0.06257606889255896	0.03862349799685793	0.05808181407191264	0.05679087867074642	0.07698987906980846
YGL079W	YGL079W	0.017560729362759802	0.030771886851236194	0.029496732236386065	0.011175513743529618	0.03732117991301517	0.043328941239135915	0.009760174387327847	0.012171757831202593	0.029210371356835088	0.030845294515668618	0.015287709703423294	0.01079220357140607	0.018250541588896628	0.027113183662072615	0.029504946287609676
YOR148C	YOR148C	0.05210281695439262	0.1230638478116314	0.1563521286115271	0.14055883925519533	0.16368673062204853	0.15852419991944644	0.08662666200350816	0.04389679913840512	0.10928105913012982	0.1853713533418122	0.1759398349864075	0.12798893019753202	0.12944651284380312	0.08837320841210963	0.09322025225458522
YPL033C	YPL033C	0.08495326922186415	0.19274869646862708	0.1881776852495388	0.10015884441161717	0.10633543207426646	0.11360074091147923	0.15900135056382342	0.16116024214130384	0.07763490600466681	0.03942842253802825	0.10031877892784957	0.12582009619661802	0.07567228421716417	0.05652906800901081	0.11189292704509547
