source	target	Weight	edge type
Q0070	YNL064C	0.203297811104793	PPI
Q0070	YPL240C	0.203297811104793	PPI
Q0085	Q0130	0.229153332945432	PPI
Q0085	Q0275	0.284626509657832	PPI
Q0085	YBL099W	0.33815381115699394	PPI
Q0085	YBR039W	0.229153332945432	PPI
Q0085	YDL004W	0.229153332945432	PPI
Q0085	YER154W	0.279712128803883	PPI
Q0085	YIR024C	0.229153332945432	PPI
Q0085	YJR045C	0.229153332945432	PPI
Q0085	YJR121W	0.35508097667996796	PPI
Q0085	YKL016C	0.284626509657832	PPI
Q0085	YLR203C	0.279712128803883	PPI
Q0085	YLR295C	0.229153332945432	PPI
Q0085	YLR393W	0.30655688705361056	PPI
Q0085	YML081C-A	0.284626509657832	PPI
Q0085	YML129C	0.229153332945432	PPI
Q0085	YPL078C	0.3300062499408155	PPI
Q0085	YPL271W	0.229153332945432	PPI
Q0105	Q0250	0.306648821944582	PPI
Q0105	Q0275	0.2398483896131055	PPI
Q0105	YBL030C	0.2563849644577465	PPI
Q0105	YBL045C	0.292149790347349	PPI
Q0105	YDR231C	0.292149790347349	PPI
Q0105	YDR375C	0.229153332945432	PPI
Q0105	YDR529C	0.23934285032145855	PPI
Q0105	YEL024W	0.229153332945432	PPI
Q0105	YER154W	0.229153332945432	PPI
Q0105	YGL187C	0.2972826937445235	PPI
Q0105	YGL191W	0.213220543100331	PPI
Q0105	YGR112W	0.23934285032145855	PPI
Q0105	YGR174C	0.229153332945432	PPI
Q0105	YIR024C	0.229153332945432	PPI
Q0105	YJL003W	0.213220543100331	PPI
Q0105	YJL166W	0.229153332945432	PPI
Q0105	YKR016W	0.23934285032145855	PPI
Q0105	YLR038C	0.213220543100331	PPI
Q0105	YLR203C	0.279712128803883	PPI
Q0105	YML030W	0.284626509657832	PPI
Q0105	YML129C	0.229153332945432	PPI
Q0105	YMR256C	0.2398483896131055	PPI
Q0105	YOR065W	0.229153332945432	PPI
Q0105	YPL215W	0.303099406136007	PPI
Q0105	YPR191W	0.3165770048503205	PPI
Q0110	YDL229W	0.203297811104793	PPI
Q0110	YDR231C	0.23934285032145855	PPI
Q0110	YGL187C	0.23934285032145855	PPI
Q0110	YKR016W	0.23934285032145855	PPI
Q0110	YPL240C	0.203297811104793	PPI
Q0115	YDR231C	0.23934285032145855	PPI
Q0115	YGL187C	0.23934285032145855	PPI
Q0115	YKR016W	0.23934285032145855	PPI
Q0120	YDR231C	0.23934285032145855	PPI
Q0120	YGL187C	0.23934285032145855	PPI
Q0120	YGR112W	0.23934285032145855	PPI
Q0120	YKR016W	0.23934285032145855	PPI
Q0120	YLR382C	0.3140171173678275	PPI
Q0130	YBL099W	0.32018822589220847	PPI
Q0130	YER154W	0.268469970387751	PPI
Q0130	YHR051W	0.229153332945432	PPI
Q0130	YIR024C	0.229153332945432	PPI
Q0130	YJR045C	0.229153332945432	PPI
Q0130	YKL016C	0.229153332945432	PPI
Q0130	YLR203C	0.279712128803883	PPI
Q0130	YLR393W	0.279712128803883	PPI
