	25min	30min	35min	40min	45min	50min	55min	60min	65min	70min	75min	80min	85min	90min	95min	100min
YJL033W	7.06505024765125	7.16205318859909	7.3145235822843	7.24939959032385	7.2758129158933	7.21246552263731	7.09176574226401	6.86038815606425	6.78437711105081	6.72913077616694	6.70940886865204	6.82625133965608	6.6164229708423	6.63962532559131	6.58595500901753	6.61231351937618
YJL032W	3.14961519555298	3.22608991453542	3.46889450967649	3.34962564881977	3.73907611340018	3.74879197174612	3.64620452440717	3.76041476780916	3.83870502900141	3.93792293445459	3.03327192143137	3.60365220364477	3.53198436194457	3.51472240828943	3.8022062702645	3.91080161323603
YJL031C	4.64808364078059	4.65474751678613	4.93358927518092	4.87482195037392	4.99687430031697	5.15846497553473	5.05432131383373	5.18135038619019	5.2195096805879	5.23704000600069	4.823943333481	4.96804068452411	4.90614970469901	4.98331600776155	5.03437735291961	5.08919949108237
YJL030W	4.41147367269989	4.49637239496162	4.49569709486015	4.54956230697255	4.60593404647596	4.53903432514148	4.67959996314227	4.68972231470232	4.71084518682698	4.80905112498631	4.79870676385642	4.78827809424469	4.76638256635612	4.79712953087288	4.78294467925869	4.68868538536466
YJL029C	5.87353756666389	5.97145599589121	6.01832576927356	6.36072795069061	6.46606024989956	6.50942954864495	6.39195959724293	6.21488348903617	6.18786198058343	6.02110551584	5.83306691612	5.82518410966545	5.74680532721398	5.76351166354963	5.6554084966322	5.8844539999226
YJL026W	8.64420644627123	8.70371735231629	8.67077236568582	8.62810683793989	8.53684817205634	8.32306569543313	8.16933448124754	8.02991135146031	7.93326371240279	7.71583089005737	7.63768202313726	7.76553969442377	7.91972301317173	7.95652158000803	8.10697959249921	8.1684264413903
YJL026C-A	6.36029704030797	6.54533034712698	6.36442359692446	6.3966154595154	6.28285839072456	6.15711429317532	5.90496990191001	5.74656524339301	5.83894934542093	5.53774428254108	5.50199989867646	5.63634529621667	5.87513775748707	5.93135114466176	6.07631061503819	6.11121862156802
YJL025W	5.83181276021258	5.90565848152121	5.93370684484108	5.93938215633598	5.87284961803995	5.78985943731292	5.59602459708985	5.36845720743969	5.29090035322302	5.18466402947211	5.41499462893917	5.16085855092945	5.24065495047613	5.1636949084117	5.16466110660209	5.33701857161552
YJL024C	5.03788904965434	5.14434275089719	5.16566680253633	5.20897275221637	5.423891170132	5.37934675977407	5.41965941022089	5.20551060864106	5.22212112026881	5.21108968857146	5.18891138495482	4.9705240492673	4.90034629516902	4.95687422797404	4.95902541872539	5.09798928715244
YJL023C	4.30758906547771	4.05473146169052	4.01189104897883	4.21186708170588	4.09229488364051	4.09965487294579	4.12827423791158	4.31205017714387	4.37767265425396	4.28499608325838	4.29140694919153	4.17264813062276	4.26838100174198	4.02793055748328	4.3035966430313	4.03194680046976
YJL022W	1.94865993567935	1.69009774339005	1.51950638570171	1.86359129679387	1.54802178248412	1.22620340681182	1.82502298231994	1.56100764665614	1.56897175851635	1.14793169857335	1.57552953690867	1.38526874783949	1.62337355887634	1.58695377686738	1.61831442167604	1.57283009350609
YJL020C	6.62181615071147	6.18832199494567	6.12111198994121	6.23531560734299	6.42837291450106	6.39052320847582	6.41440330365844	6.59737664332668	6.73128627595731	6.68550673194457	6.50459076564046	6.61947809451781	6.72136523866702	6.54220340171891	6.52381064888109	6.49631644802223
YJL020W-A	2.87409066954871	2.50260589886448	2.78686395216113	2.5132467376175	2.4413784540102	2.76974965480488	2.81030422727094	2.78082196411253	2.94339450250939	2.70460414072215	2.94401361685995	3.26635417669721	3.07683299210492	2.88916974277475	2.95525580845436	2.67191133847988
YJL019W	5.78548636389653	5.7177557241928	5.70509488555694	5.70982849525867	5.52733959566546	5.24746536523735	5.03601613528097	4.71013090959896	4.77627615284425	4.667375708726	4.68210108134718	5.03125824893216	5.08307554423554	5.15596705630248	5.29586138584519	5.02612413583821
YJL016W	6.42216550302103	6.26847872210129	6.01527865932224	5.9595170099534	5.72525328960559	5.58263451737618	5.54515636209179	5.56426859312688	5.65791246408515	5.53774428254108	6.00179222585316	5.76922853107155	5.8069798161004	6.06939444689942	6.03671901539664	6.01394501238773
YJL015C	3.53282200107752	3.46255335876829	2.9489420070487	3.1016348634723	2.85901564772717	2.30358582864829	2.41645439964123	2.64608210749182	2.82469806570314	2.83266224125732	3.57523795231085	3.03916190250124	2.94773273879791	3.47800325411412	3.68238283317391	3.24689530070014
YJL014W	8.15627871395671	8.16767398821424	8.16343543410929	8.2153940630959	8.29496692705379	8.30659112047646	8.20166130085285	8.12005482499936	8.03961098131436	8.02450672374165	8.14833422184773	8.18348402017161	8.12898304219414	8.10739113065909	8.08225061180745	8.08651441390296
