	0min	5min	10min	15min	20min	25min	30min	35min	40min	45min	50min	55min	60min	65min	70min	75min	80min	85min	90min	95min	100min	105min	110min	115min	120min	125min	130min	135min	140min	145min	150min	155min	160min	165min	170min	175min
YLR134W	4.04971374225414	4.3729937315516	5.21890888632547	5.11645017296134	4.68987198621894	4.31823336288869	4.07117231772756	4.05346674598162	4.30601219585971	4.16106856115865	4.05844060333494	4.22074342530754	4.33345031936037	4.40110191955204	4.16296602830773	4.50601081169718	4.29793714728534	4.63704604493378	4.52742711690528	4.66677258777869	4.69457458984966	4.42303605996878	4.45250755941629	4.69444407602853	4.37475884596964	4.47832313833396	4.44365052922098	4.48346902037776	4.53154935864341	4.40793501553881	4.35413833372281	4.49145381221837	4.42487888973971	4.56304269016453	4.59216751551294	4.6662157907472
YLR135W	4.0823205529831	4.436726253943	4.39332711136227	4.39527655334054	4.68596629499203	4.75025517511893	4.75563657355546	4.72577947662775	4.71342624916638	4.71168799848025	4.36005948640072	4.19292838290564	4.32471087888779	4.10078403690959	3.97875623402671	4.06440833185673	4.08108805328853	4.42053317823773	4.5627053277317	4.30824531929829	4.51548800758556	4.45612889067951	4.68913397587033	4.5501678943859	4.52314903210881	4.28985625231499	4.42928706717412	4.30353617895227	4.24167569637459	4.30401735467248	4.30863360783255	4.19861947405987	4.33743735317908	4.36996254727096	4.56513217165761	4.28533921585461
YLR136C	4.5838050466808	4.70284451669133	3.3498803147834	2.83280912672856	2.78659735399874	3.41164428464366	3.33671780264362	3.34915866047163	3.28206968297292	3.38190712074756	3.14541775860577	2.91625529835693	2.87086569243405	2.86095172187405	2.78841033237154	3.35727142794842	3.06466628575636	3.40513736360951	3.61058204687663	4.00294441224716	4.04285335511268	4.11303133389956	4.46726667355088	4.68505243981073	4.73529698441148	4.9373249002528	4.83729614292301	4.79335521125282	4.83264945052684	4.87493772667797	4.83458133303754	4.94574339894953	5.0814524894204	4.8944003702038	4.97327804442019	4.97064451047642
YLR137W	4.3196181985435	4.66009451484111	5.12581392135423	4.8774609731753	4.43452659892438	4.75025517511893	4.60129700632298	4.46858304359715	4.41432521621221	4.33285556876833	4.26635567665618	4.13075718592683	4.08701276183645	4.12324304438328	4.41518933720113	4.28396941314651	4.20836094856187	4.5476749611705	4.42251639030444	4.26754914549516	4.51548800758556	4.74207810811831	4.58922378560156	4.69132031876152	4.75199041962661	4.78600906920026	4.27183565271879	4.47978683572778	4.58313760523346	4.93183072868788	4.67094579791579	4.66390464801227	4.65568248349119	4.64198160583033	4.69906796125338	4.77498757535776
YLR138W	7.42370716350204	7.64932189552414	7.20957901770832	6.90648696192628	6.80179547367817	6.99386607311069	7.04160961106609	7.07917541014591	7.07366397038679	7.20416639199786	7.12585943556582	7.09269103835977	7.05030366489428	7.12556226964537	7.01010669263866	6.86688307589934	6.98805990164474	6.89316611450177	6.82954926245362	6.8393360905006	6.78476758017663	6.89898133278091	6.9501968809883	6.97305077477975	6.86076389176816	6.77027454698414	6.83413262581353	6.68166471311651	6.79725647139877	6.62365401507692	6.69217999180399	6.66780147503678	6.68675917722551	6.71639079706498	6.58913970848701	6.67315270776291
YLR139C	4.27517885408171	5.01616275164647	4.95201404820712	5.0110405392319	5.19754485741972	5.02170733993676	4.97212060877875	5.18258566921044	5.39819622722465	5.38977164230271	5.36450973743454	5.30281381770581	5.14734078392929	5.0952493223949	5.02421272703931	4.91583506906253	4.68965183415533	4.89649536082846	4.88883146149134	4.9090395159144	5.03406951567248	4.86216343704405	5.04445705476273	5.04947350001161	5.06751818437093	5.19300899975259	5.07728372498815	5.14447198104796	5.03144356854729	4.45721533802559	4.75044866845116	4.72484944587291	4.910208320036	4.9205434758451	4.97327804442019	4.69521281124915
YLR140W	2.87264322967124	2.83803223671702	2.8177383973454	2.49336707313604	2.51443878474668	2.28687670374667	2.39588604557313	2.53663045388742	2.21532160628583	2.57449318334579	2.17702032379613	2.13876338559	2.19393380449477	1.86031594336319	2.45931156355877	2.88745511882235	1.88123317000809	2.06927430219034	2.20266226800805	2.10551582437559	2.13451565621748	2.30539698118131	2.34608176794246	2.01846066561969	2.79727290517706	2.65839829534966	2.0298366564913	2.39596577965719	2.00916949349333	2.57505446660762	2.61708144121128	2.91552267601852	2.52421502330101	2.50863729042709	2.42678473232128	2.78793937506647
YLR141W	3.67528978212162	3.43768590956153	3.67520642468756	3.55354168665259	3.743029872928	3.72655925303878	3.88441621510949	4.03576085286076	3.94320443646201	4.11942588187341	4.01876234362781	3.85714223861335	3.72467642176898	3.5492487996512	3.9414363401719	3.30087469932778	3.4242610070674	3.63773150426728	3.24119220653923	3.17419425963684	3.44857775028375	3.47014944215991	3.46113959456222	3.46619952729137	3.64744530078178	3.94349850732397	3.13000140883843	3.32956358840163	3.58787094907158	3.92407390191503	4.0617113296668	4.04245239138309	3.94043652125459	3.93536221591096	3.99963604269987	3.92864819652781
YLR142W	4.74727021331839	5.3866809460623	5.42727890297884	4.47231464182971	3.49775445520111	3.10694170478371	2.93618848776141	3.07643137754339	3.23907805826842	3.25090354911327	3.14541775860577	2.93876019097258	2.80954778799085	2.69094726343854	2.64100553478004	2.21707344819186	2.37601830445063	2.1685389498878	2.59227231730854	2.475869426246	2.59448562330886	2.39913602213409	2.73560362241313	2.56060943246494	2.79727290517706	2.74733175843116	2.50193914585341	2.67890915112555	2.55269992755391	2.77486733802292	2.74681883069374	2.45389151029203	2.57096861339245	2.69519083453828	2.66368349283876	2.6593064955516
YLR143W	5.24745358356019	5.23361208441899	5.04290662936925	5.33118426688986	5.34600932417099	5.32263322338358	5.31836587502897	5.27352343783575	5.47060332428104	5.46927666001801	5.62639996054723	5.59970909290392	5.54357178025124	5.57420834589775	5.56389010234357	5.83538665390708	5.48043777663768	5.4966312792477	5.54699267223013	5.44574107280493	5.38894717890683	5.39888955955272	5.36917050027655	5.39878348223782	5.38363611582415	5.3460766613997	5.40299697844419	5.41319167402727	5.4216055834824	5.28290257338869	5.2034448078978	5.24983256663373	5.31224753256343	5.32026163521846	5.36681630132862	5.26949461089593
